Name,OsmId,Kind,HeightCm,BaseCm,HeightSource,CentroidX,CentroidY,BoxX,BoxY,BoxLengthCm,BoxWidthCm,YawDeg,AreaM2,NumVerts,Outline
B00163,265424282,yes,5240.0,0.0,tag:height,-13850.1,14161.3,-13850.2,14161.4,2475.8,1531.6,28.99,379.06,4,-15303.5 14231.0|-13139.2 15431.0|-12396.3 14091.6|-14561.8 12891.6
B00164,265424283,yes,1310.0,0.0,tag:height,-6892.6,16686.3,-6892.6,16686.3,3597.1,812.0,28.85,292.05,4,-8663.9 16174.1|-5513.4 17909.5|-5121.4 17198.4|-8271.9 15463.0
B00165,265424291,yes,1860.0,0.0,tag:height,-18226.0,15018.2,-18221.1,15014.4,2763.8,1057.2,119.01,290.67,5,-18428.4 16478.3|-17175.8 14216.7|-17213.6 13992.9|-18013.1 13549.5|-19353.5 15966.6
B00166,265424315,yes,2070.0,0.0,tag:height,-4672.7,14442.2,-4672.7,14442.0,1872.6,794.4,208.85,148.67,4,-5684.5 14338.1|-4044.3 15241.7|-3661.1 14545.8|-5301.4 13643.0
B00167,265424322,yes,2120.0,0.0,tag:height,-5335.7,10760.7,-5339.8,10763.4,2579.3,700.3,118.92,178.83,4,-5659.0 12060.4|-4409.7 9803.9|-5022.7 9465.2|-6259.7 11728.6
B00168,265424325,yes,2440.0,0.0,tag:height,-4916.6,11484.0,-4916.6,11484.0,3334.9,739.8,118.96,246.72,4,-5400.2 13122.0|-3785.6 10204.2|-4433.0 9846.1|-6047.6 12763.9
B00169,265424328,yes,3100.0,0.0,tag:height,-4110.9,11569.3,-4110.9,11569.3,2923.2,753.8,298.94,220.35,4,-4488.5 13030.8|-3073.8 10472.7|-3733.4 10107.9|-5148.1 12665.9
B00170,265424331,yes,1200.0,0.0,estimate:default,126.6,14227.0,129.3,14266.4,3370.9,2550.3,118.94,839.26,6,140.1 15795.6|599.8 16050.6|2057.9 13414.0|-170.9 12174.4|-1796.6 15121.7|-30.9 16103.8
B00171,265424344,yes,1220.0,0.0,tag:height,5183.5,21575.2,5183.5,21575.2,2829.3,712.8,208.49,201.66,4,3770.4 21213.8|6256.9 22563.2|6596.6 21936.6|4110.2 20587.2
B00172,265424350,yes,2630.0,0.0,tag:height,8279.8,22023.7,8279.6,22023.7,3007.3,625.9,28.49,188.15,4,6809.8 21581.9|9451.7 23015.8|9750.5 22466.0|7107.4 21031.3
B00173,265424356,commercial,4710.0,0.0,tag:height,-16068.4,10916.7,-16068.7,10916.7,2423.0,1643.6,29.07,397.24,4,-17521.2 11048.9|-15409.1 12223.6|-14615.1 10784.5|-16728.4 9609.8
B00174,265424368,commercial,2000.0,0.0,estimate:type=commercial,15122.9,22846.6,15086.6,22730.6,3771.0,1947.6,119.63,655.83,7,15008.7 24837.2|16865.3 21573.2|15533.8 20834.3|14784.3 22150.0|14408.9 21952.4|13539.5 23490.3|13702.7 24112.6
B00175,265424370,yes,1200.0,0.0,estimate:default,9594.5,19914.1,9513.6,19918.3,4252.8,3219.2,118.48,1250.96,10,10283.5 21481.3|10436.7 21564.9|11942.5 18816.9|9112.9 17281.7|8338.9 18708.9|8943.0 19037.4|8306.7 20208.7|7726.0 19892.9|7107.4 21031.3|9750.5 22466.0
B00176,265424373,yes,4650.0,0.0,tag:height,-6902.2,14245.8,-6928.3,14291.9,5969.7,1119.7,28.85,585.44,12,-6145.3 15362.5|-4583.9 16222.2|-4044.3 15241.7|-9272.5 12361.1|-9807.7 13333.2|-8209.7 14213.1|-7996.5 13825.5|-7530.1 14082.2|-7635.6 14272.2|-6544.0 14872.7|-6430.7 14668.3|-5918.8 14950.3
B00177,265424380,yes,1200.0,0.0,estimate:default,-7486.3,15292.5,-7464.6,15265.8,5969.7,1124.7,208.85,597.86,12,-10349.6 14318.7|-5121.4 17198.4|-4583.9 16222.2|-6257.5 15300.8|-6537.3 15807.5|-7029.2 15536.5|-6749.4 15028.1|-7544.5 14589.8|-7829.9 15108.3|-8377.4 14807.7|-8087.6 14280.7|-9807.7 13333.2
B00178,265424381,yes,1200.0,0.0,estimate:default,13841.0,23419.3,14925.5,23378.0,6001.1,5036.9,209.1,1496.61,12,11240.8 24200.5|16322.5 27037.8|16947.7 25914.7|13702.7 24112.6|13539.5 23490.3|14408.9 21952.4|14784.3 22150.0|15533.8 20834.3|13788.1 19864.9|13368.4 20005.9|12013.6 22444.8|12189.1 22541.9
B00179,265424383,yes,3700.0,0.0,tag:height,7174.9,18061.5,7005.1,18256.6,3725.6,2775.2,118.49,844.88,14,7771.5 19753.6|9112.9 17281.7|7193.9 16239.6|7141.7 16335.9|7024.0 16271.7|6783.1 16285.2|6624.3 16360.4|6497.7 16515.8|6399.9 16462.6|5355.0 18392.3|6406.7 18991.9|5962.5 19810.2|6778.7 20252.7|7212.9 19450.4
B00180,265424408,yes,1200.0,0.0,estimate:default,-9517.3,18991.6,-9517.2,18991.4,5983.1,4481.9,208.93,2674.92,4,-5827.6 18471.1|-11051.4 15583.0|-13206.8 19512.6|-7983.0 22399.8
B00181,265424412,yes,5630.0,0.0,tag:height,-14329.1,15206.8,-14329.1,15206.8,1973.4,762.1,28.98,150.34,4,-15376.8 15062.0|-13651.1 16018.0|-13281.3 15351.6|-15007.0 14395.7
B00182,265424415,yes,4450.0,0.0,tag:height,-13844.8,6736.7,-13844.4,6736.7,3854.9,2253.8,299.0,868.52,4,-13895.6 4504.7|-15764.5 7876.0|-13793.4 8968.8|-11925.5 5596.6
B00183,265424423,yes,4100.0,0.0,tag:height,-6832.1,10366.2,-6831.1,10366.8,3328.8,2302.6,298.96,765.25,4,-6629.5 12380.5|-5022.7 9465.2|-7032.7 8353.1|-8642.9 11263.3
B00184,265424428,yes,6870.0,0.0,tag:height,-4005.5,22136.7,-4004.5,22136.4,4340.3,2975.0,298.87,1290.11,4,-3749.7 24755.0|-1657.7 20953.0|-4258.5 19518.3|-6355.0 23318.6
B00185,265424438,yes,1200.0,0.0,estimate:default,-679.8,19325.2,-679.6,19325.1,6082.5,2210.8,208.88,1344.48,4,-3876.5 18824.1|1449.5 21761.9|2516.6 19826.3|-2808.2 16888.4
